#Classification	210222Fox_D21-2140_bracken_species.kreport2	210222Fox_D21-2142_bracken_species.kreport2	210222Fox_D21-2143_bracken_species.kreport2	210222Fox_D21-2144_bracken_species.kreport2	210222Fox_D21-2145_bracken_species.kreport2	210222Fox_D21-2146_bracken_species.kreport2	210222Fox_D21-2147_bracken_species.kreport2	210713Fox_D21-6682_bracken_species.kreport2	210713Fox_D21-6683_bracken_species.kreport2	210713Fox_D21-6684_bracken_species.kreport2	210713Fox_D21-6685_bracken_species.kreport2	210713Fox_D21-6686_bracken_species.kreport2	210713Fox_D21-6687_bracken_species.kreport2	210713Fox_D21-6688_bracken_species.kreport2	210713Fox_D21-6689_bracken_species.kreport2	210713Fox_D21-6690_bracken_species.kreport2	210713Fox_D21-6691_bracken_species.kreport2	210713Fox_D21-6692_bracken_species.kreport2	210713Fox_D21-6693_bracken_species.kreport2
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida|f__Trypanosomatidae|g__Trypanosoma|s__Trypanosoma_cruzi	598	1678	1481	1044	971	1054	654	208	378	431	632	413	535	401	668	735	915	323	386
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida|f__Trypanosomatidae|g__Endotrypanum|s__Endotrypanum_monterogeii	83	145	145	146	90	71	85	50	43	46	111	78	91	70	62	88	122	51	54
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida|f__Trypanosomatidae|g__Leptomonas|s__Leptomonas_pyrrhocoris	93	168	149	133	97	100	80	43	57	60	58	53	63	68	61	53	92	54	50
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida|f__Trypanosomatidae|g__Leptomonas|s__Leptomonas_seymouri	106	173	166	141	124	101	102	56	33	41	150	129	110	63	73	134	125	54	58
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida|f__Trypanosomatidae|g__Leishmania|s__Leishmania_turanica	32	131	74	50	47	59	61	40	0	52	36	35	0	47	28	44	57	23	24
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida|f__Trypanosomatidae|g__Leishmania|s__Leishmania_arabica	44	85	124	87	31	62	54	27	29	33	48	51	40	39	49	31	62	28	26
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida|f__Trypanosomatidae|g__Leishmania|s__Leishmania_gerbilli	78	122	152	127	96	83	95	57	54	52	102	66	97	80	68	57	110	53	55
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida|f__Trypanosomatidae|g__Leishmania|s__Leishmania_tarentolae	76	172	109	141	71	95	87	37	42	55	94	76	72	49	72	79	126	53	56
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida|f__Trypanosomatidae|g__Leishmania|s__Leishmania_enriettii	107	171	185	172	112	94	100	51	65	49	123	87	84	72	82	108	94	43	43
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida|f__Trypanosomatidae|g__Leishmania|s__Leishmania_panamensis	61	135	97	100	60	72	76	46	54	51	87	56	58	43	55	37	69	38	41
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida|f__Trypanosomatidae|g__Leishmania|s__Leishmania_braziliensis	68	117	111	103	65	52	69	0	46	38	58	49	37	56	50	58	62	42	31
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida|f__Trypanosomatidae|g__Leishmania|s__Leishmania_sp._MAR_LEM2494	141	262	178	201	128	165	121	62	70	72	160	97	119	74	85	108	129	60	79
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida|f__Trypanosomatidae|g__Leishmania|s__Leishmania_aethiopica	62	140	98	117	58	76	63	29	56	44	55	82	46	44	44	40	69	57	48
