Key	A4_metagenome	F3_metagenome	C4_metagenome	A5_metagenome	G2_metagenome	E5_metagenome	C5_metagenome	D5_metagenome	E1_metagenome	G1_metagenome	C2_metagenome	E2_metagenome	F2_metagenome	H2_metagenome	D3_metagenome	B4_metagenome	D4_metagenome	E4_metagenome	H4_metagenome	B5_metagenome	E1_16s	G1_16s	C2_16s	E2_16s	F2_16s	G2_16s	H2_16s	D3_16s	F3_16s	A4_16s	B4_16s	C4_16s	D4_16s	E4_16s	H4_16s	A5_16s	B5_16s	C5_16s	D5_16s	E5_16s
Anaerospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerostipes	19	0	43	51	41	18	36	14	0	0	0	0	11	0	0	0	0	0	0	0	0	94	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerotruncus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0
Aneurinibacillus	11	0	29	38	27	10	13	10	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anoxybacillus	0	0	39	18	14	0	0	11	0	0	10	0	0	0	0	0	0	0	0	0	149	25	0	0	26	20	0	20	11	24	30	0	0	0	43	16	0	0	0	0
Anoxybacter_fermentans	0	0	33	23	33	15	11	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anseongella	0	0	0	12	15	0	0	10	0	0	0	25	0	10	0	0	23	12	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Antarcticibacterium	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apibacter	19	0	68	34	73	26	19	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apilactobacillus	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquabacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	20	0	58	26	0	0	0	0	0	0	0	0	0	0
Aquamicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	37	0	0	0	0	49	0	0	49	0	0
Aquicella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquifex	34	0	80	72	79	44	47	34	42	38	25	27	20	28	38	32	13	30	26	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquiflexum	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquihabitans	0	0	11	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquiluna	11	0	17	12	12	10	12	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquimarina	22	0	166	86	94	75	81	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquirufa	0	0	0	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquisphaera	0	0	15	0	11	15	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arabia	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arachidicoccus	30	0	90	93	79	46	46	53	0	0	0	0	14	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archangium	30	0	68	42	61	28	30	33	0	0	0	12	0	0	14	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcicella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0
Arcobacter	73	0	277	250	246	159	164	157	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcticibacterium	19	10	34	27	18	26	21	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arenibacter	0	0	22	11	12	10	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arenimonas	0	0	0	0	10	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aromatoleum	65	0	106	56	45	101	106	115	0	43	24	32	22	0	46	0	0	55	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arsenicicoccus	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arsenophonus	0	0	32	20	16	0	12	0	0	0	0	0	0	0	10	0	0	0	0	0	0	25	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthrobacter	1850	987	4045	2961	2345	2376	2366	2948	746	888	1312	626	705	450	1199	989	417	1380	985	705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASF356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asinibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	138	0	0	0	0	0	53	0	0	23	0	0
Asteroleplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asticcacaulis	19	0	26	14	29	14	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0
Atopobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atopostipes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
Atribacter	11	0	19	13	21	12	14	0	0	0	0	11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aurantisolimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Auraticoccus	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aureimonas	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
Aureliella	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Avibacterium	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	25	0	0	0	19	73	16	0	37	17	0	0	22	0	0	0	0	0	0
Azoarcus	48	0	47	41	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azospirillum	47	2906	131	73	74	62	119	120	20	39	59	14	22	0	67	42	28	46	21	31	0	0	0	0	0	0	0	0	3390	0	0	0	0	0	0	0	0	0	0	0
Bacillus	1964	351	3841	3455	3437	2068	2258	1830	740	691	790	663	789	551	866	950	621	893	921	528	493	153	63	36	131	92	157	354	245	176	793	111	146	305	1410	838	64	120	0	116
Bacteroides	312	34	729	501	538	297	299	273	87	38	76	84	69	102	45	101	94	124	68	48	119	24247	22	21	31	20651	159	1988	34	361	59	42	1552	68	70	235	16	34	338	680
Barnesiella	0	0	18	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella	36	0	68	45	70	21	24	43	0	0	20	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Basfia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	27	14	0	0	0	0	0	0	0	0	0	0	0	0	0
Bathymodiolus_thermophilus_thioautotrophic_gill_symbiont	0	0	16	16	14	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bdellovibrio	16	0	29	27	31	15	18	0	12	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beggiatoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	61	0	0	202	18	16	0	0	11	38	13	18	14	0	0
Belliella	12	0	26	25	23	14	15	17	11	15	0	23	24	11	0	0	14	12	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
