Representative_ASV	Beta	SE	P	FDR_BH	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6	Rank7
48101	-0.0134177942871177	0.0722645214527496	0.854775093665973	0.958651522903399	k__Nucletmycea	p__Ascomycota	c__Lecanoromycetes	o__Caliciales	f__Caliciaceae	g__Buellia	NA
48114	0.00963457157406537	0.091038949355801	0.916888411483085	0.958651522903399	k__Nucletmycea	p__Ascomycota	c__Lecanoromycetes	o__Caliciales	f__Physciaceae	g__Rinodina	NA
48191	0.0214128751397037	0.101315511025163	0.83498981705105	0.958651522903399	k__Nucletmycea	p__Ascomycota	c__Lecanoromycetes	o__Ostropales	f__Graphidaceae	g__Graphis	NA
48190	0.0684132380642774	0.144621857225246	0.641863965401787	0.958651522903399	k__Nucletmycea	p__Ascomycota	c__Lecanoromycetes	o__Ostropales	f__Graphidaceae	g__Gomphillus	NA
48252	-0.0104324979721497	0.0745606782086665	0.890277296946508	0.958651522903399	k__Nucletmycea	p__Ascomycota	c__Lecanoromycetes	o__Teloschistales	f__Teloschistaceae	g__Rusavskia	NA
48338	0.0214128751397037	0.101315511025163	0.83498981705105	0.958651522903399	k__Nucletmycea	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Incertae Sedis	g__Skyttea	NA
47681	-0.0827325123431123	0.0490490411983903	0.108908905900719	0.493931602662483	k__Nucletmycea	p__Ascomycota	c__Arthoniomycetes	o__Arthoniales	f__Roccellaceae	g__Roccella	NA
48456	0.0396450308190992	0.117778924336526	0.740306925371293	0.958651522903399	k__Nucletmycea	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pezizaceae	g__Peziza	NA
48440	0.0558969237688767	0.132844171710589	0.678903596623732	0.958651522903399	k__Nucletmycea	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Helvellaceae	g__Helvella	NA
48408	0.00599780715697795	0.0879420050478993	0.946376868447099	0.958651522903399	k__Nucletmycea	p__Ascomycota	c__Lichinomycetes	o__Lichinales	f__Peltulaceae	g__Peltula	NA
